,company_name_final,company_type_final,company_headquarter_location_final,company_age_final,Number_of_Employees_final
0,  Udaan  ,  Private  ,"  Bangalore,Karnataka + 304 more  ",  6 years old  ,  1k-5k Employees (India)  
1,  Oyo Rooms  ,  Private  ,"  Gurgaon,Haryana + 103 more  ",  9 years old  ,  1k-5k Employees (India)  
2,  Ecom Express  ,  Private  ,"  Gurgaon,Haryana + 481 more  ",  10 years old  ,  10k-50k Employees (India)  
3,  Whitehat jr  ,  Private  ,"  Mumbai,Maharashtra + 43 more  ",  4 years old  ,  5k-10k Employees (India)  
4,  Swiggy  ,  Private  ,"  Bangalore,Karnataka + 136 more  ",  8 years old  ,  10k-50k Employees (India)  
5,  CMS IT Services  ,  Private  ,"  Bangalore,Karnataka + 120 more  ",  8 years old  ,  5k-10k Employees (India)  
6,  CARS24  ,  Private  ,"  Gurgaon,Haryana + 130 more  ",  7 years old  ,  5k-10k Employees (India)  
7,  Rivigo  ,  Private  ,"  Gurgaon,Haryana + 146 more  ",  8 years old  ,  1k-5k Employees (India)  
8,  BlackBuck  ,  Private  ,"  Bangalore,Karnataka + 201 more  ",  7 years old  ,  1k-5k Employees (India)  
9,  Blinkit  ,  Private  ,"  Gurgaon,Haryana + 51 more  ",  9 years old  ,  5k-10k Employees (India)  
10,  XpressBees  ,  Private  ,"  Pune,Maharashtra + 172 more  ",  7 years old  ,  1k-5k Employees (India)  
11,  Ninjacart  ,  Private  ,"  Bangalore,Karnataka + 73 more  ",  7 years old  ,  1k-5k Employees (India)  
12,  ElasticRun  ,  Private  ,"  Pune,Maharashtra + 231 more  ",  6 years old  ,  1k-5k Employees (India)  
13,  Intellect Design...  ,  Public  ,"  Chennai,Tamil Nadu + 22 more  ",  8 years old  ,  1k-5k Employees (India)  
14,  PhonePe  ,  Private  ,"  Bangalore,Karnataka + 135 more  ",  7 years old  ,  1k-5k Employees (India)  
15,  NoBroker  ,  Private  ,"  Bangalore,Karnataka + 22 more  ",  8 years old  ,  1k-5k Employees (India)  
16,  Unacademy  ,  Private  ,"  Bangalore,Karnataka + 40 more  ",  7 years old  ,  1k-5k Employees (India)  
